Forage: 15, 13, 14, 7, 15, 11, 11, 13, 9, 11, 10, 10
Forage: 15, 14, 12, 13, 10, 12, 9, 10, 6, 12, 9, 11
Forage: 14, 7, 12, 11, 11, 11, 17, 13, 8, 11, 10, 12
Forage: 17, 17, 18, 20, 20, 15, 16, 14, 13, 10, 11, 13
Forage: 14, 10, 10, 12, 11, 13, 12, 8, 12, 9, 13, 11
Forage: 14, 13, 15, 12, 14, 16, 10, 12, 9, 13, 11, 7
Forage: 14, 17, 10, 8, 13, 8, 15, 11, 12, 11, 11, 6
Forage: 15, 12, 17, 9, 12, 14, 15, 11, 10, 11, 10, 11
Forage: 15, 15, 8, 14, 10, 12, 9, 13, 9, 8, 13, 10
Forage: 16, 15, 14, 7, 8, 14, 12, 12, 11, 12, 11, 6
Forage: 14, 13, 13, 13, 13, 12, 14, 6, 16, 8, 11, 8
Forage: 15, 12, 12, 10, 16, 10, 11, 14, 11, 15, 6, 9
Forage: 17, 12, 12, 10, 15, 10, 12, 12, 11, 10, 11, 10
Forage: 14, 14, 11, 10, 13, 12, 13, 5, 12, 10, 8, 6
Forage: 14, 14, 10, 13, 8, 10, 13, 12, 11, 12, 12, 8
Forage: 17, 12, 15, 9, 11, 15, 9, 12, 12, 13, 12, 9
Forage: 15, 12, 13, 9, 12, 11, 10, 13, 11, 9, 10, 10
Forage: 16, 13, 13, 12, 11, 14, 12, 10, 10, 14, 5, 9
Forage: 13, 16, 10, 10, 15, 12, 13, 10, 11, 12, 11, 10
Forage: 15, 16, 13, 14, 9, 13, 10, 15, 8, 12, 8, 12
Forage: 14, 14, 9, 12, 12, 9, 14, 10, 11, 10, 8, 8
Forage: 12, 13, 14, 15, 10, 12, 6, 15, 8, 9, 9, 9
Forage: 15, 14, 15, 8, 13, 16, 11, 9, 10, 7, 10, 11
Forage: 14, 12, 8, 16, 11, 15, 9, 12, 9, 11, 13, 8
Forage: 13, 16, 14, 13, 13, 10, 9, 7, 12, 10, 9, 8
Forage: 12, 14, 15, 9, 10, 11, 13, 13, 8, 15, 9, 13
Forage: 15, 14, 13, 14, 11, 8, 9, 13, 12, 11, 10, 12
Forage: 13, 12, 11, 7, 12, 10, 15, 9, 12, 9, 8, 12
Forage: 15, 13, 9, 11, 11, 11, 10, 10, 13, 9, 10, 10
Forage: 15, 12, 9, 11, 15, 13, 11, 13, 10, 9, 13, 11
Forage: 15, 11, 12, 12, 13, 12, 15, 10, 13, 10, 12, 11
Forage: 13, 11, 9, 13, 11, 10, 10, 11, 12, 8, 11, 9
Forage: 13, 13, 10, 13, 11, 12, 12, 10, 12, 11, 10, 9
Forage: 14, 12, 14, 10, 14, 13, 9, 14, 13, 9, 12, 10
Forage: 15, 15, 12, 18, 8, 12, 13, 13, 7, 9, 13, 9
Forage: 18, 12, 15, 12, 14, 10, 13, 10, 13, 11, 7, 9
Forage: 16, 17, 13, 12, 18, 10, 10, 11, 10, 10, 11, 8
Forage: 14, 11, 15, 6, 10, 17, 11, 14, 9, 11, 11, 11
Forage: 15, 14, 10, 12, 10, 8, 12, 13, 12, 14, 7, 13
Forage: 9, 17, 9, 11, 11, 9, 12, 13, 9, 13, 7, 10
Forage: 16, 13, 12, 15, 11, 10, 11, 9, 10, 11, 11, 10
Forage: 19, 14, 11, 10, 14, 9, 10, 13, 10, 10, 8, 9
Forage: 18, 14, 15, 11, 16, 12, 14, 6, 13, 11, 11, 7
Forage: 13, 17, 7, 14, 8, 17, 13, 11, 9, 12, 9, 8
Forage: 11, 12, 14, 10, 10, 14, 12, 10, 15, 9, 10, 9
Forage: 13, 13, 13, 10, 15, 11, 11, 11, 11, 11, 11, 13
Forage: 15, 11, 12, 12, 14, 12, 10, 16, 12, 7, 11, 6
Forage: 14, 15, 14, 15, 12, 11, 13, 10, 8, 11, 7, 7
Forage: 14, 13, 14, 13, 11, 15, 12, 9, 10, 11, 13, 10
Forage: 12, 17, 12, 15, 9, 7, 15, 9, 12, 11, 10, 8
Forage: 15, 12, 15, 11, 15, 8, 11, 12, 12, 11, 9, 9
Forage: 15, 16, 14, 11, 13, 14, 12, 13, 8, 11, 7, 14
Forage: 14, 12, 14, 13, 15, 13, 9, 13, 13, 9, 13, 10
Forage: 14, 13, 15, 9, 10, 16, 8, 14, 7, 14, 11, 10
Forage: 12, 17, 12, 10, 13, 12, 9, 12, 9, 9, 8, 3
Forage: 11, 16, 7, 3, 1, 4, 1, 6, 2, 3, 8, 6
Forage: 12, 10, 5, 1, 2, 0, 4, 5, 8, 4, 8, 7
Forage: 11, 13, 12, 10, 4, 2, 1, 3, 3, 4, 2, 6
Forage: 15, 13, 12, 15, 8, 5, 2, 0, 1, 2, 2, 3
Forage: 9, 12, 12, 15, 11, 13, 14, 11, 9, 11, 8, 11
Forage: 14, 14, 13, 14, 11, 13, 12, 13, 9, 11, 10, 6
Forage: 13, 17, 7, 3, 6, 0, 1, 3, 2, 4, 1, 2
Forage: 15, 10, 6, 2, 3, 1, 3, 1, 4, 2, 1, 5
Forage: 11, 12, 9, 6, 3, 5, 4, 8, 4, 7, 9, 10
Forage: 12, 12, 14, 10, 15, 10, 13, 7, 6, 5, 4, 3
Forage: 10, 14, 11, 17, 10, 9, 4, 2, 1, 2, 0, 4
Forage: 9, 18, 11, 12, 9, 11, 11, 10, 10, 13, 9, 10
Forage: 17, 12, 10, 13, 6, 12, 12, 11, 8, 2, 0, 0
Forage: 11, 6, 5, 3, 1, 2, 1, 1, 0, 5, 1, 5
Forage: 13, 9, 16, 12, 7, 10, 10, 11, 11, 4, 2, 2
Forage: 10, 16, 12, 14, 6, 4, 2, 0, 1, 3, 0, 2
Forage: 14, 13, 14, 4, 3, 0, 1, 2, 2, 3, 3, 1
Forage: 14, 14, 14, 11, 4, 7, 2, 3, 3, 6, 3, 4
Forage: 11, 7, 5, 8, 2, 2, 4, 4, 2, 3, 10, 3
Forage: 9, 19, 10, 3, 2, 2, 2, 2, 3, 3, 2, 2
Forage: 11, 17, 12, 11, 12, 14, 9, 6, 1, 4, 2, 3
Forage: 14, 15, 12, 2, 2, 4, 1, 2, 3, 6, 4, 4
Forage: 12, 13, 12, 13, 12, 10, 2, 3, 4, 1, 5, 3
Forage: 14, 14, 6, 6, 3, 4, 5, 5, 5, 8, 5, 1
Forage: 15, 10, 11, 12, 12, 3, 0, 1, 0, 0, 0, 1
Forage: 12, 9, 6, 2, 2, 1, 4, 2, 2, 5, 4, 3
Forage: 12, 16, 12, 11, 10, 12, 6, 1, 2, 4, 3, 9
Forage: 13, 16, 12, 16, 7, 5, 6, 3, 3, 4, 5, 4
Forage: 11, 15, 13, 9, 6, 2, 1, 3, 2, 5, 4, 5
Forage: 12, 19, 9, 5, 5, 3, 2, 3, 6, 7, 6, 8
Forage: 12, 15, 6, 6, 4, 1, 2, 4, 0, 1, 1, 2
Forage: 14, 16, 8, 8, 5, 1, 4, 3, 4, 6, 6, 8
Forage: 12, 11, 9, 2, 1, 3, 2, 2, 3, 3, 9, 5
Forage: 13, 11, 8, 3, 6, 2, 1, 4, 2, 2, 5, 6
Forage: 12, 13, 7, 6, 2, 6, 2, 1, 4, 1, 2, 6
Forage: 12, 12, 3, 5, 1, 1, 1, 4, 3, 2, 3, 3
Forage: 10, 12, 4, 4, 2, 2, 3, 2, 2, 1, 2, 0
Forage: 14, 14, 5, 1, 2, 0, 3, 6, 1, 3, 1, 4
Forage: 12, 10, 10, 1, 5, 1, 2, 4, 3, 4, 2, 5
Forage: 17, 11, 6, 5, 1, 2, 4, 4, 7, 4, 5, 6
Forage: 14, 15, 5, 2, 2, 2, 1, 8, 2, 2, 2, 2
Forage: 11, 9, 8, 4, 3, 0, 1, 4, 2, 3, 3, 4
Forage: 11, 14, 9, 6, 6, 3, 3, 0, 4, 4, 9, 9
Forage: 12, 13, 11, 11, 10, 8, 7, 3, 4, 2, 0, 1
Forage: 12, 13, 7, 4, 3, 3, 2, 6, 3, 5, 6, 9
Forage: 13, 18, 7, 14, 10, 12, 9, 1, 4, 3, 0, 4
Forage: 11, 11, 6, 5, 3, 1, 2, 4, 3, 9, 4, 9
Forage: 11, 12, 14, 8, 2, 3, 1, 3, 2, 1, 1, 2
Forage: 11, 14, 14, 8, 2, 2, 3, 3, 4, 7, 6, 10
Forage: 14, 11, 13, 15, 9, 16, 15, 10, 9, 2, 0, 4
Forage: 16, 21, 19, 12, 12, 6, 2, 2, 4, 1, 0, 0
Forage: 14, 10, 3, 1, 1, 3, 1, 3, 5, 3, 3, 7
Forage: 18, 18, 15, 18, 13, 12, 18, 12, 5, 6, 2, 2
Forage: 13, 16, 17, 17, 12, 7, 4, 6, 0, 1, 0, 1
Forage: 15, 13, 6, 5, 0, 1, 1, 1, 3, 2, 0, 0
Forage: 17, 17, 6, 8, 3, 1, 1, 2, 1, 1, 2, 1
Forage: 14, 19, 15, 16, 18, 16, 15, 14, 14, 13, 13, 13
