tags_collected, collisions_in_seconds, time_in_minutes, random_seed
89, 309.625, 12, 576806
85, 327.766, 12, 820983
93, 338.828, 12, 94042
101, 406.75, 12, 380119
86, 319.828, 12, 745836
81, 582.891, 12, 118110
90, 317.172, 12, 568594
78, 358.219, 12, 792253
109, 388.266, 12, 112646
88, 340.406, 12, 493913
74, 315.719, 12, 804847
79, 335.5, 12, 127392
66, 292.297, 12, 426956
82, 370.438, 12, 673140
85, 325.297, 12, 992080
60, 300.031, 12, 245964
93, 334.938, 12, 495702
69, 302.234, 12, 612379
80, 372.297, 12, 516217
84, 294.812, 12, 452136
75, 277.375, 12, 359930
78, 295.547, 12, 200832
83, 304.281, 12, 117357
92, 290.312, 12, 87351
92, 368.875, 12, 3303
78, 323.219, 12, 944890
77, 274.453, 12, 858261
83, 312.672, 12, 819239
58, 296.609, 12, 768184
81, 312.328, 12, 689633
67, 313.203, 12, 595100
98, 384.031, 12, 493121
80, 284.203, 12, 415800
76, 334.312, 12, 329194
97, 305.375, 12, 320333
72, 301.625, 12, 314414
68, 325.266, 12, 188357
87, 308.219, 12, 124699
61, 310.234, 12, 57778
95, 365.812, 12, 3801
85, 326.656, 12, 917046
